Japanese,English,Hints,Type
開きます;あきます;akimasu,open,ドアが～,an (_) door,Verb

閉まります,しまります,shimarimasu,close;shut,ドアが～,a (_) door,Verb
点きます,つきます,tsukimasu,come on;be turned on,電気(でんき)が～,the light has (_),Verb
消えます,きえます,kiemasu,go off,電気(でんき)が～,the light did (_),Verb
壊れます,こわれます,kowaremasu,break,椅子(いす)が～,a chair did (_),Verb
割れます,われます,waremasu,break;smash,コップが～,a glass did (_),Verb
折れます,おれます,oremasu,break;snap,木(き)が～,a tree did (_),Verb
破れます,やぶれます,yaremasu,tear,紙(かみ)が～,a paper did (_),Verb
汚れます,よごれます,yogoremasu,get dirty,服(ふく)が～,clothes did (_),Verb
付きます,つきます,tsukimasu,be attached,ポケットが～,a pocket needs to (_),Verb
外れます,はずれます,hazuremasu,be undone,ボタンが～,a button needs to (_),Verb
止まります,とまります,tomarimasu,stop;park,車(くるま)が～,the car did (_),Verb
間違えます,まちがえます,machigaemasu,make a mistake,おっと,my bad、 i (_) every day,Verb
落とします,おとします,otoshimasu,drop;lose,どこ？,to (_) a wallet,Verb
掛かります,かかります,kakarimasu,be locked,鍵(かぎ)が～,that door (_) lol,Verb
拭きます,ふきます,fukimasu,wipe,綺麗(きれい),i (_) a window,Verb
取り替えます,とりかえます,torikaemasu,change,きたない,need a new (_) of clothes,Verb
片づけます,かたづけます,katadzukemasu,put (things) in order;tidy up,this place is gross,i need to (_) things,Verb
張ります,はります,harimasu,put up;post;paste,-,i (_) a shelf,Verb
掛けます,かけます,kakemasu,hang,-,i (_) a painting,Verb
飾ります,かざります,kazarimasu,display;decorate,-,i (_) a space to look nice,Verb
並べます,ならべます,narabemasu,arrange;line up,-,i (_) my clothes by colour,Verb
植えます,うえます,uemasu,plant,-,i (_) in the yard,Verb
戻します,もどします,modoshimasu,return;put _ back,-,i need to (_) a book today,Verb
纏とめます,まとめます,matomemasu,put _ together;put _ in shape;sum up,-,i need to (_) my ideas (_),Verb
仕舞います,しまいます,shimaimasu,put away,-, i (_) a book,Verb
決めます,きめます,kimemasu,decide,-,(_) or we can't eat,Verb
予習します,よしゅうします,yoshuushimasu,prepare a lesson,授業(じゅぎょう),i need to (_) for my students,Verb
復習します,ふくしゅうします,fukushuushimasu,review a lesson,授業(じゅぎょう),i need to (_) for my students,Verb
そのままにします,そのままにします,sonomama ni shimasu,leave things as they are,-,it's ok、 (_) for now,Verb
枝,えだ,eda,branch;bow;bough;twig;limb,木(き),part of a tree,Noun
木,き,ki,tree;shrub;bush,-,in a forest,Noun
電池,でんち,denchi,battery;cell,-,portable electricity,Noun
洗濯機,せんたくき,sentakuki,washing machine,-,clean clothes,Noun
手,て,te,hand;arm,-,utility of the body,Noun
袋,ふくろ,fukuro,bag;sack;pouch,-,used to carry shopping,Noun
掃除機,そうじき,soujiki,vacuum cleaner,-,used to clean floors,Noun
風邪をひきます,かぜをひきます, kazewohikimasu,to catch a cold,-, sickness,Verb
遅れます,おそれます,osoremasu,to be late;to be delayed;to fall behind schedule;to be overdue,-,oh no i'll (to _),Verb
白鳥,はくちょう,hakuchou,swan,-,-,Noun
鋏,はさみ,hasami,scissors;shears;clippers,-,-,Noun
