Set,Word,Kanji,Meaning
L01,わたし,私,I
L01,わたしたち,私たち,We
L01,あなた,,You
L01,あのひと,あの人,That person
L01,あのかた,あの方,Polite equivalent of あのひと
L01,みなさん,,Everybody / all of you
L01,～さん,,Mr./Mrs. Title of respect added to a name
L01,～ちゃん,,Suffix added to child’s names instead of ～さん
L01,～くん,,Suffix often added to boy’s names
L01,～じん,～人,Suffix meaning nationality
L01,せんせい,先生,Teacher / instructor (not used when referring to one’s own job)
L01,きょうし,教師,Teacher / instructor
L01,がくせい,学生,Student
L01,かいしゃいん,会社員,company employee
L01,しゃいん,社員,employee of…company (used with a company’s name)
L01,ぎんこういん,銀行員,bank employee
L01,いしゃ,医者,medical doctor
L01,けんきゅうしゃ,研究者,researcher / scholar
L01,エンジニア,,engineer
L01,だいがく,大学,university
L01,びょういん,病院,hospital
L01,でんき,電気,electricity / light
L01,だれ（どなた）,誰,who (どなた is the polite equivalent of だれ)
L01,―さい,～歳,― years old
L01,なんさい,何歳,how old (おいくつ is is the polite equivalent of  なんさい)
L01,はい,,yes
L01,いいえ,,no
L01,しつれいですが,失礼ですが,Excuse me / but
L01,おなまえは？,お名前は,May I have your name?
L01,はじめまして。,初めて,How do you do (lit. I’m meeting you for the first time. Usually used as the first phrase when introducing oneself)
L01,どうぞよろしく[おねがいします]。,どうぞよろしく「お願いします」。,Pleased to meet you. (lit. Please be nice to me. Usually used at the end of a self-introduction)
L01,こちらは～さんです。,,This is Mr./Ms/…
L01,～からきました。,～から来ました,I came (come) from…
L01,アメリカ,,USA
L01,イギリス,,U.K
L01,インド,,India
L01,インドネシア,,Indonesia
L01,かんこく,韓国,Korean
L01,タイ,,Thailand
L01,ちゅうごく,中国,China
L01,ドイツ,,Germany
L01,にほん,日本,Japan
L01,フランス,,France
L01,ブラジル,,Brazil
L01,さくらだいがく,桜大学,fictitious university
L01,ふじだいがく,富士大学,fictitious university
L01,ＩＭＣ / パワーでんき /ブラジルエアー,ＩＭＣ / パワー電気/ブラジルエアー,fictitious company
L01,ＡＫＣ,,fictitious university
L01,こうべびょういん,神戸病院,fictitious hospital
L02,これ,,this (thing here)
L02,それ,,that (thing near you)
L02,あれ,,that (thing over there)
L02,この,,this∼ / this∼here
L02,その,,that∼ / that∼near you
L02,あの,,that∼ / that∼over there
L02,ほん,本,book
L02,じしょ,辞書,dictionary
L02,ざっし,雑誌,magazine
L02,しんぶん,新聞,newspaper
L02,ノート,,notebook
L02,てちょう,手帳,pocket notebook
L02,めいし,名詞,business card
L02,カード,,card
L02,テレホンカード,,telephone card
L02,えんぴつ,鉛筆,pencil
L02,ボールペン,,ballpoint pen
L02,シャープペンシル,,mechanical pencil / propelling pencil
L02,かぎ,,key
L02,とけい,時計,watch / clock
L02,かさ,傘,umbrella
L02,かばん,,bag / briefcase
L02,[カセット] テーブ,,[cassette] tape
L02,テープレコーダー,,tape recorder
L02,テレビ,,television
L02,ラジオ,,radio
L02,カメラ,,camera
L02,コンピュータ,,computer
L02,じどうしゃ,自動車,automobile / car
L02,つくえ,机,desk
L02,いす,,chair
L02,チョコレート,,chocolate
L02,コーヒー,,coffee
L02,えいご,英語,the English language
L02,にほんご,日本語,the Japanese language
L02,∼ご,∼語,∼language
L02,なん,何,what
L02,そう,,so
L02,ちがいます。,違います。,No / it isn’t./ You are wrong.
L02,そうですか。,,I see./ Is that so?
L02,あのう,,well (used to show hesitation)
L02,ほんのきもちです,ほんの気持ちです,It’s nothing./It’s a token of my gratitude.
L02,どうぞ,,Please./ Here you are. (used when offering someone something)
L02,どうも,,Well / thanks.
L02,[どうも] ありがとう[ございます],,Thank you [very much].
L02,これから おせわになります,これから お世話になります,I hope for your kind assistance hereafter.
L02,こちらこそ よろしく,,I am pleased to meet you. (response to どうぞよろしく)
L03,ここ,,here / this place
L03,そこ,,there / that place near you
L03,あそこ,,that place over there
L03,どこ,,where / what place
L03,こちら,,this way / this place (the polite equivalent of ここ)
L03,そちら,,that way / that place near you (the polite equivalent of そこ)
L03,あちら,,that way / that place over there (the polite equivalent of あそこ)
L03,どちら,,which way / where (the polite equivalent of どこ)
L03,きょうしつ,教室,classroom
L03,しょくどう,食堂,the dining hall / canteen
L03,じむしょ,事務所,office
L03,かいぎしつ,会議室,conference room / assembly room
L03,うけつけ,受付,reception desk
L03,ロビー,,lobby
L03,へや,部屋,room
L03,トイレ（おてあらい）,（お手洗い）,toilet / rest room
L03,かいだん,階段,staircase
L03,エレベーター,,elevator / lift
L03,エスカレーター,,escalator
L03,[お]くに,[お]国,country
L03,かいしゃ,会社,company
L03,うち,,house / home
L03,でんわ,電話,telephone / telephone call
L03,くつ,靴,shoes
L03,ネクタイ,,necktie
L03,ワイン,,wine
L03,たばこ,,tobacco / cigarette
L03,うりば,売り場,department / counter (in a department store
L03,ちか,地下,basement
L03,―かい（－がい）,－階,-th floor
L03,なんがい,何階,what floor
L03,―えん,―円,#NAME?
L03,いくら,,how much
L03,ひゃく,百,hundred
L03,せん,千,thousand
L03,まん,万,ten thousand
L03,すみません,,Excuse me
L03,～でございます,,(the polite equivalent of です)
L03,みせてください,[～を]見せてください,Please show me [∼]
L03,じゃ,,well / then / in that case
L03,[～を]ください,,Give me [∼] / please.
L03,しんおおさか,新大阪,name of a station in Osaka
L03,イタリア,,Italy
L03,スイス,,Switzerland
L03,ＭＴ/ヨーネン/アキックス,,fictitious companies
L04,おきます,起きます,get up / wake up
L04,ねます,寝ます,sleep / go to bed
L04,はたらきます,働きます,work
L04,やすみます,休みます,take a rest / take a holiday
L04,べんきょうします,勉強します,study
L04,おわります,終わります,finish
L04,デパート,,department store
L04,ぎんこう,銀行,bank
L04,ゆうびんきょく,郵便局,post office
L04,としょかん <,図書館,library
L04,びじゅつかん,美術館,art museum
L04,でんわばんごう,電話番号,telephone number
L04,なんばん,何番,what number
L04,いま,今,now
L04,～じ,～時,～o’clock
L04,～ふん（～ぷん）,～分,～minute
L04,はん,半,half
L04,なんじ,何時,what time
L04,なんぷん,何分,what minute
L04,ごぜん,午前,a.m / morning
L04,ごご,午後,p.m / afternoon
L04,あさ,朝,morning
L04,ひる,昼,daytime / noon
L04,ばん,晩,night / evening
L04,よる,夜,night / evening
L04,おととい,,the day before yesterday
L04,きのう,,yesterday
L04,きょう,,today
L04,あした,,tomorrow
L04,あさって,,the day after tomorrow
L04,けさ,,this morning
L04,こんばん,今晩,this evening / tonight
L04,そちら,,your place
L04,やすみ,休み,rest / holiday / a day off
L04,ひるやすみ,昼休み,lunchtime
L04,まいあさ,毎朝,every morning
L04,まいばん,毎晩,every night
L04,まいにち,毎日,everyday
L04,たいへんですね,大変ですね,That’s tough / isn’t it? (used when expressing sympathy)
L04,ばんごうあんない,,Directory assistance
L04,おといあわせのばんご,お問い合わせの番号,the number being inquired about
L04,～を おねがいします,,Please. (lit.ask for a favor)
L04,かしこまりました,,Certainly (sir / madam)
L04,げつようび,月曜日,Monday
L04,かようび,火曜日,Tuesday
L04,すいようび,水曜日,Wednesday
L04,もくようび,木曜日,Thursday
L04,きんようび,金曜日,Friday
L04,どようび,土曜日,Saturday
L04,にちようび,日曜日,Sunday
L04,なんようび,何曜日,What day of the week
L04,～から,,from～
L04,～まで,,to～
L04,～と～,,～and～
L04,ニューヨーク,,New York
L04,ペキン,,Beijing
L04,ロンドン,,London
L04,バンコク,,Bangkok
L04,ロサンゼルス,,Los Angeles
L04,えーと,,well / let me see
L05,いきます,行きます,go
L05,きます,来ます,come
L05,かえります,帰ります,go home / return
L05,がっこう,学校,school
L05,スーパー,,supermarket
L05,えき,駅,station
L05,ひこうき,飛行機,airplane
L05,ふね,船,ship
L05,でんしゃ,電車,electric train
L05,ちかてつ,地下鉄,subway / underground
L05,しんかんせん,新幹線,the Shinkansen / the bullet train
L05,バス,,bus
L05,タクシー,,taxi
L05,じてんしゃ,自転車,bicycle
L05,あるいて（いきます）,歩いて,on foot
L05,ひと,人,person / people
L05,ともだち,友達,friend
L05,かれ,彼,he / boyfriend / lover
L05,かのじょ,彼女,she / girlfriend / lover
